ID      x-pos       y-pos      z-pos      vm    |    x-pos       y-pos      z-pos      vm    |   vm_average
4442  -1997.493652  -50.000221  -20875.0  127.705238 | -1997.493652  -50.000221  -20875.0  113.477814 | 120.59152599999999
4443  -1997.493652  -50.000221  -21125.0  126.300865 | -1997.493652  -50.000221  -21125.0  112.480377 | 119.39062100000001
4444  -1997.493652  -50.000221  -21375.0  124.832649 | -1997.493652  -50.000221  -21375.0  111.390396 | 118.1115225
4445  -1997.493652  -50.000221  -21625.0  123.238754 | -1997.493652  -50.000221  -21625.0  110.164368 | 116.701561
4446  -1997.493652  -50.000221  -21875.0  121.447495 | -1997.493652  -50.000221  -21875.0  108.714783 | 115.08113900000001
4447  -1997.493652  -50.000221  -22125.0  119.378998 | -1997.493652  -50.000221  -22125.0  106.97892 | 113.17895899999999
4448  -1997.493652  -50.000221  -22375.0  116.932014 | -1997.493652  -50.000221  -22375.0  104.841095 | 110.88655449999999
4449  -1997.493652  -50.000221  -22625.0  114.015259 | -1997.493652  -50.000221  -22625.0  102.222763 | 108.119011
4450  -1997.493652  -50.000221  -22875.0  110.500099 | -1997.493652  -50.000221  -22875.0  98.983208 | 104.74165350000001
4451  -1997.493652  -50.000221  -23125.0  106.30117 | -1997.493652  -50.000221  -23125.0  95.038704 | 100.669937
4452  -1997.493652  -50.000221  -23375.0  101.275421 | -1997.493652  -50.000221  -23375.0  90.237877 | 95.756649
4453  -1997.493652  -50.000221  -23625.0  95.387657 | -1997.493652  -50.000221  -23625.0  84.519867 | 89.95376200000001
4454  -1997.493652  -50.000221  -23875.0  88.528099 | -1997.493652  -50.000221  -23875.0  77.775261 | 83.15168
4455  -1997.493652  -50.000221  -24125.0  80.842186 | -1997.493652  -50.000221  -24125.0  70.048355 | 75.44527049999999
4456  -1997.493652  -50.000221  -24375.0  72.40509 | -1997.493652  -50.000221  -24375.0  61.489491 | 66.94729050000001
4457  -1997.493652  -50.000221  -24625.0  63.966488 | -1997.493652  -50.000221  -24625.0  52.506294 | 58.236391
4458  -1997.493652  -50.000221  -24875.0  56.055298 | -1997.493652  -50.000221  -24875.0  44.427696 | 50.241496999999995
4459  -1997.493652  -50.000221  -25125.0  50.840969 | -1997.493652  -50.000221  -25125.0  38.576401 | 44.708685
4460  -1997.493652  -50.000221  -25375.0  47.919819 | -1997.493652  -50.000221  -25375.0  38.379543 | 43.149681
4461  -1997.493652  -50.000221  -25625.0  48.47485 | -1997.493652  -50.000221  -25625.0  39.990646 | 44.232748
4462  -1997.493652  -50.000221  -25875.0  46.666702 | -1997.493652  -50.000221  -25875.0  43.151161 | 44.9089315
